comment,label
"một thương hiệu thời trang như torano mà size in vớ vẩn quá! 1 trải nhiệm mua hàng thật tệ ! size s kiểu dáng slimfit mà to bằng size xl luôn . cái áo 129k chẳng nhẽ trả hàng . chất liệu vải thì mịn mát , đóng gói đẹp nhưng size in vớ vẩn . anh e nào mua lưu ý size nó không như size tiêu chuẩn đâu",""
"giao nhầm hàng cho mình, sai kiểu áo. rồi bắt đến tận cửa hàng đổi. mà đổi thì đi tận 2 cửa hàng vẫn hết mẫu. thất vọng",""
"áo và quần lông tơ nhiều tay ướt cầm vào bán đầy tay",""
"hàng còn nguyên vẹn nhưng sh ko muốn hỗ trợ đoi hang đăth theo đúng bảng size mà ko vừa , chê nha, dáng ôm và dài so với số đo, nói chung là ko ưng",""
"đúng với mô tả:size rông đặt lùi size màu sắc:xám đá chất liệu:cotton sh trả lời lâu, ck mình hay mặc xl mà hãng này xl rất rộng đặt áo khác size l thì vừa, còn áo size xl bảo trả hàng về mà sh hỗ trợ không nhiệt tình. áo mặc đc 2 lần cảm giác rất là nhăn",""
"gửi sai kích cỡ. phản hồi chậm trễ. thiếu sự cẩn thận khi đóng gói hàng cho khách. mua lần đầu ko dám mua lần sau",""
"mua cái áo theo size shop hướng dẫn về mặc ko vừa, cần shop xác nhận cho trả hàng hoàn tiền mà shop ko hỗ trợ, may mà khiếu nại shopee thành công, cạch torano từ đây",""
"áo chất có vẻ đẹp nhưng nóng, ko thấm mồ hôi, mồ hôi ra rất lâu để khô áo",""
"mặc được 2 lần thì vừa nhăn và xù",""
"trời ơi mua cái áo về mới ngâm nước giặt xong lấy ra phơi giãn cổ nhão nhoẹt đồ dởm chưa từng thấy",""
"màu sắc:kem đúng với mô tả:không chất liệu:bt mình mua 2 cái cùng size s mà cái dài cái ngắn. nhắn tin thì shop phán cầu xanh rờn là trả hàng hoàn tiền. mình mua hàng đâu có muốn trả đâu. tin tưởng vào 1 thương hiệu local của nước nhà mà thế này thì chịu rồi. xin tạm biệt brand",""
"fom áo dài rộng so với các màu khác",""
"giao hàng quá lâu 2 tuần hơn cả order bên nước ngoài",""
"chất vải dão, sz áo ko chuẩn như mấy lần trước mình mua",""
"size l mà sao dài quá trời. đo chiều dài những 73cm mình mặc như mặc váy. chắc shop dán mác size khác vào bán cho mình quá. k chấp nhận được",""
"màu sắc:den .xanh da đúng với mô tả:đúng chất liệu:thun áo mang mát chất đẹp nhân viên tư vấn nhiệt tình .mn mua đúng size nha đừng mua hơn size form áo rộng",""
"đúng với mô tả:kích thước ko đúng mô tả 1m69,66 kg chọn size m siêu chùng và rộng ảnh so với áo cũ chắc phải cắt đi vài gấu mua cái áo 80k tốn 30k đi cắt nên cho 2 sao thôi",""
"đúng với mô tả:ko chất liệu:bí màu sắc:đúng quá chán. cái áo 200k mà ko khác gì cái áo mấy chục. chất vải bí nóng chứ ko mềm mát như shop mô tả",""
"chất lượng sản phẩm ổn nhưng giao hàng bị thiếu đây là lỗi của shop làm việc không cẩn thận",""
"màu sắc:'đẹp chất liệu:chuẩn, mềm size s nhưng quá dài rộng và dáng áo xấu",""
"form áo bị rộng so với áo mình vẫn mua ở torano , chán ......",""
"size s mà mặc như size m của các hãng khác việt nam fom người nhỏ",""
"áo bị ra màu bụi vải đen giặt chục lần ko hết. sợ",""
"cái áo nó mỏng như áo ngủ luôn í. lần đầu mua bất ngờ thật 🥶",""
"màu sắc:đúng với hình ảnh chất liệu:co giãn áo giãn nhiều sau một lần giặt, dễ nhăn nhúm , mặc vào thời tiết nóng thì cực kì bí.",""
"mua rất nhiều quần áo ở torano rồi nhưng áo này form k chuẩn. quá rộng so với các áo size m khác",""
"chất liệu:không như mong đợi màu sắc:đen không hài lòng về mẫu này lắm.hôm nay là hôm đầu tiên mặc áo này.màu áo phai như màu áo cũ.không ok cho lắm",""
"đúng với mô tả:quá dài màu sắc:đẹp chất liệu:mát, tốt size mẫu này bị quá dài, không chuẩn. m vẫn thường xuyên mua của hãng, size m, mấy mẫu kia thì size đúng, chất lượng vẫn rất tốt. hi vọng hãng làm chuẩn size hơn.",""
"chất hơi mỏng mà lại còn dài. size l dài ngoằng",""
"áo chuẩn , đúng màu nhưng giao áo giản",""
"so sánh 2 chiếc áo cùng size l của hãng nhưng cái to cái nhỏ. trước đây mình mặc size l thì cái nào cũng vừa, nhưng gần đây mua 2 áo thun size l thì đều bị rộng. lên live trên tiktok hỏi chiều cao, cân nặng thì vẫn tư vấn mình size l. mong shop phản hồi",""
"màu sắc:đúng chất liệu:tốt đúng với mô tả:đúng nhắn tin chờ tư vấn trong khung thời gian hỗ trợ khách mà nhắn từ 13:35 tới 14:00 mới được rep?? hỗ trợ không tới nơi chốn cskh bên này cần xem xét lại còn về áo giá cả phù hợp với chất lượng! đóng gói tốt",""
"áo thì đẹp nhưng không biết cái này gắn ở áo làm gì, tháo ra rách cả áo",""
